,PubMed,WOS,Excluidos,Total
#1: términos generales,150112.0,286496.0,0,436608.0
#2: patologías,506457.0,984086.0,0,1490543.0
#3: genes,2914.0,6025.0,0,8939.0
#4: ómicas y biología computacional,2769404.0,11044214.0,0,13813618.0
#5: biomarcadores,1300101.0,1382132.0,0,2682233.0
Registros_identificados,211.0,49.0,0,260.0
Exclusion_cancer,172.0,45.0,43,217.0
Exclusion_last_10y,85.0,39.0,93,124.0
Exclusion_ingles,81.0,39.0,4,120.0
Duplicados y retractados,0.0,0.0,17,103.0
Not papers,0.0,0.0,6,97.0
Excluidos: tiab screening,,,76,21.0
No tratan sobre ADPKD,,,42,
"Tienen un subgrupo de pacientes ADPKD (o pueden tenerlo), pero no queda clara su aportación",,,22,
Aportación poco clara en cuanto a biomarcadores,,,7,
No usan datos humanos (o no queda claro su uso en el abstract),,,5,
